english,human_reference_vi,google_translate,gemini_translate,category
"Enjoy it. I hear the, uh— the snow's very good at Chamonix.",Tôi nghĩ cảnh tuyết ở đó rất đẹp,"Hãy tận hưởng nó. Tôi nghe nói, ừm— tuyết ở Chamonix rất đẹp.","Hãy tận hưởng đi. Tôi nghe nói, ừm— tuyết ở Chamonix rất đẹp.",complex
"Oh, my God!",Chúa ơi!,Ôi chúa ơi!,"Ôi, Chúa ơi!",simple
Your heart rate is unusually slow. Hmm.,Nhịp tim của cô đập chậm bất thường.,Nhịp tim của bạn chậm một cách bất thường. Ừm.,Nhịp tim của anh chậm bất thường. Hừm.,simple
- Okay.,- Được rồi.,- Được rồi.,- Được rồi.,simple
"Blair, what have they done?","Blair, họ đã làm gì?","Blair, họ đã làm gì thế?","Blair, họ đã làm gì vậy?",simple
"I could tell you, but then...","Tôi có thể cho cậu biết, nhưng rồi...","Tôi có thể nói với bạn, nhưng sau đó...","Tôi có thể nói cho anh biết, nhưng rồi...",complex
Don't bother.,Khỏi cần.,Đừng bận tâm.,Đừng bận tâm.,simple
"Well, Susie, none of it makes much sense, does it, huh?","Susie, mấy điều đó hơi bất hợp lý, phải không?","Susie, chẳng có ý nghĩa gì cả, phải không?","Chà, Susie, chẳng có gì hợp lý cả, phải không?",complex
Get up!,Đứng lên!,Thức dậy!,Dậy đi!,simple
- Stop the car!,- Dừng xe lại!,- Dừng xe lại!,- Dừng xe lại!,simple
I'm fine.,Em ổn.,Tôi ổn.,Tôi ổn.,simple
Schedule for tomorrow.,Xếp lịch vào ngày mai đi.,Lịch trình cho ngày mai.,Lịch trình cho ngày mai.,simple
Just give me a little more time.,Hãy cho tôi thêm thời gian.,Chỉ cần cho tôi thêm một chút thời gian.,Chỉ cần cho tôi thêm một chút thời gian nữa thôi.,simple
Show them some power.,Cho họ thấy chút sức mạnh.,Hãy cho họ thấy sức mạnh nào đó.,Cho họ thấy sức mạnh đi.,simple
I ain't trying shit!,Tôi chẳng lén lút gì cả!,Tôi không cố gắng đâu!,Tôi không cố gắng cái quái gì cả!,idiom
"If you want to take over the world, we don't teach that, but give it a go.","Cậu làm gì với những khả năng đó sau khi tốt nghiệp thì tùy cậu. Nếu cậu muốn chiếm lấy thế giới, tuy chúng tôi không dạy môn đó, nhưng cậu cứ thử xem sao.","Nếu bạn muốn thống trị thế giới, chúng tôi không dạy điều đó mà hãy thử.","Nếu bạn muốn thống trị thế giới, chúng tôi không dạy điều đó, nhưng cứ thử đi.",complex
"Wheresoever thou goest, there also will I go.","Bất cứ anh đi đâu, tôi sẽ đi theo đó.","Bất cứ nơi nào bạn đi, tôi cũng sẽ đi đó.","Dù người đi đâu, tôi cũng sẽ đi theo đó.",complex
Get me out of here!,Cho tôi ra khỏi đây!,Đưa tôi ra khỏi đây!,Đưa tôi ra khỏi đây!,simple
Get off me.,Tránh xa em ra.,Xuống khỏi tôi đi.,Bỏ tôi ra.,simple
"If they're such good friends, why does he barely even mention him?","Nếu họ là bạn tốt, sao anh ta không nhắc tới ông ấy?",Nếu họ là bạn tốt như vậy thì tại sao anh ấy lại hiếm khi nhắc đến anh ấy?,"Nếu họ là bạn tốt như vậy, tại sao anh ta hầu như không bao giờ nhắc đến anh ấy?",complex
[DOOR OPENS],[DOOR OPENS],[CỬA MỞ],[CỬA MỞ],simple
How many of these are still in existence?,Còn bao nhiêu cái này còn tồn tại?,Có bao nhiêu trong số này vẫn còn tồn tại?,Có bao nhiêu cái trong số này vẫn còn tồn tại?,simple
It's fine?,Khỏe?,Nó ổn chứ?,Ổn chứ?,simple
We'll let you know.,Chúng tôi sẽ cho cô biết sau.,Chúng tôi sẽ cho bạn biết.,Chúng tôi sẽ cho bạn biết.,simple
"He's a fine piece of work, our little nobleman.","Đúng là người đàn ông của công việc, quý ông nhỏ của chúng ta.","Anh ấy là một công việc tuyệt vời, quý ông bé nhỏ của chúng ta.","Hắn là một kẻ khó chịu, quý tộc nhỏ của chúng ta.",idiom
- Come on. Do something.,- Làm gì đi chứ?,- Cố lên. Làm điều gì đó.,- Nào. Làm gì đó đi.,simple
Know what this is?,Bà biết gì đây không?,Biết đây là gì không?,Biết đây là gì không?,simple
I'll see myself out.,Tôi ra ngoài.,Tôi sẽ tự mình ra ngoài.,Tôi tự đi ra đây.,idiom
you'll never see her.,Ngày mai mà em không gọi nữa thì có thể chẳng bao giờ em gặp lại cô ấy nữa đâu đấy.,bạn sẽ không bao giờ nhìn thấy cô ấy.,bạn sẽ không bao giờ gặp lại cô ấy đâu.,simple
I'm sure you endured yours with grace.,Tôi tin là phu nhân cũng từng bị thế khi kết hôn với phu quân.,Tôi chắc chắn rằng bạn đã chịu đựng sự đau khổ của mình một cách duyên dáng.,Tôi chắc bạn đã chịu đựng điều đó một cách duyên dáng.,simple
"Maybe someone quiet, who seemed like he was always just a little too close.","Có thể là ai đó trầm lặng, kẻ luôn có vẻ kín đáo quá mức.","Có lẽ ai đó trầm lặng, người có vẻ như luôn ở quá gần.","Có lẽ là một người trầm tính, người mà dường như luôn ở quá gần.",complex
